Green-D,0,5,Hynes,place-hymnl,600,150,00843d
Green-D,0,6,Kenmore,place-kencl,575,125,00843d
Green-D,0,7,Fenway,place-fenwy,525,150,00843d
Green-D,0,8,Longwood,place-longw,500,175,00843d
Green-D,0,9,Brookline Village,place-bvmnl,475,200,00843d
Green-D,0,10,Brookline Hills,place-brkhl,450,225,00843d
Green-D,0,11,Beaconsfield,place-bcnfd,425,250,00843d
Green-D,0,12,Reservoir,place-rsmnl,400,275,00843d
Green-D,0,13,Chestnut Hill,place-chhil,375,300,00843d
Green-D,0,14,Newton Centre,place-newto,350,325,00843d
Green-D,0,15,Newton Highlands,place-newtn,325,350,00843d
Green-D,0,16,Eliot,place-eliot,300,375,00843d
Green-D,0,17,Waban,place-waban,275,400,00843d
Green-D,0,18,Woodland,place-woodl,250,425,00843d
Green-D,0,19,Riverside,place-river,225,450,00843d
Green-C,0,0,North Station,place-north,975,175,00843d
Green-C,0,1,Haymarket,place-haecl,950,200,00843d
Green-C,0,2,Government Center,place-gover,900,225,00843d
Green-C,0,3,Park,place-pktrm,775,250,00843d
Green-C,0,4,Boylston,place-boyls,675,225,00843d
Green-C,0,5,Arlington,place-armnl,650,200,00843d
Green-C,0,6,Copley,place-coecl,625,175,00843d
Green-C,0,7,Hynes,place-hymnl,600,150,00843d
Green-C,0,8,Kenmore,place-kencl,575,125,00843d
Green-C,0,9,St Marys,place-smary,375,150,00843d
Green-C,0,10,Hawes,place-hwsst,350,175,00843d
Green-C,0,11,Kent,place-kntst,325,200,00843d
Green-C,0,12,St Paul,place-stpul,300,225,00843d
Green-C,0,13,Coolidge Corner,place-cool,275,250,00843d
Green-C,0,14,Summit,place-sumav,250,275,00843d
Green-C,0,15,Brandon Hall,place-bndhl,225,300,00843d
Green-C,0,16,Fairbanks,place-fbkst,200,325,00843d
Green-C,0,17,Washington Square,,175,350,00843d
Green-C,0,18,Tappan,place-tapst,150,375,00843d
Green-C,0,19,Dean,place-denrd,125,400,00843d
Green-C,0,20,Englewood,place-engav,100,425,00843d
Green-C,0,21,Cleveland Circle,place-clmnl,75,450,00843d
Green-B,0,0,Park,place-pktrm,775,250,00843d
Green-B,0,1,Boylston,place-boyls,675,225,00843d
Green-B,0,2,Arlington,place-armnl,650,200,00843d
Green-B,0,3,Copley,place-coecl,625,175,00843d
